epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.992,0.63221,1.2175,1.27382,1.02957,0.72865,0.81398,0.81028,0.63822,0.73455,0.82058,0.81279,0.65321,0.68114,1.40629,3.06431,1.1724,0.000662474,0.000662474,0.000662474
2,225.804,0.72236,1.11361,1.23514,1.06484,0.62708,0.49472,0.53498,0.38553,0.61537,0.48549,0.52118,0.33972,1.01413,2.29476,3.08012,1.46968,0.00132256,0.00132256,0.00132256
3,315.276,0.75416,1.12025,0.9964,1.09522,0.82319,0.67018,0.74865,0.55798,0.82319,0.67018,0.74492,0.54562,0.87806,1.41523,1.14085,1.24902,0.00197605,0.00197605,0.00197605
4,404.118,0.68931,0.90746,0.85012,1.05348,0.28715,0.22691,0.18885,0.10245,0.25433,0.16359,0.12689,0.04983,2.58661,4.55523,3.57736,3.05587,0.0019703,0.0019703,0.0019703
5,492.795,0.61522,0.9601,0.79219,1.01023,0.83577,0.70494,0.8021,0.66583,0.8402,0.7058,0.80118,0.6428,0.6984,0.95741,1.20011,1.0786,0.0019604,0.0019604,0.0019604
6,582.803,0.57171,0.79492,0.72356,0.98126,0.84433,0.72559,0.81426,0.67736,0.84433,0.72559,0.81495,0.66376,0.77185,1.26247,1.00271,1.14084,0.0019505,0.0019505,0.0019505
7,674.008,0.53673,0.69526,0.66351,0.96524,0.83363,0.62799,0.73641,0.55471,0.82825,0.62348,0.72256,0.49924,0.9296,1.85216,1.34267,1.30336,0.0019406,0.0019406,0.0019406
8,762.958,0.51377,0.82157,0.64008,0.96527,0.8849,0.87071,0.93528,0.84386,0.88624,0.87203,0.93385,0.79824,0.44364,0.63482,0.53316,0.93406,0.0019307,0.0019307,0.0019307
9,852.897,0.49506,0.66871,0.5869,0.94819,0.90951,0.87511,0.93702,0.86958,0.9109,0.87664,0.93931,0.80303,0.38694,0.67876,0.54533,0.89504,0.0019208,0.0019208,0.0019208
10,942.806,0.51201,0.83073,0.71362,0.96519,0.88926,0.88993,0.94398,0.8618,0.88663,0.88729,0.93915,0.79184,0.39514,0.74163,0.50176,0.89898,0.0019109,0.0019109,0.0019109
11,1031.55,0.47123,0.69283,0.60074,0.94151,0.02425,0.37203,0.02969,0.01001,0.01754,0.26913,0.01393,0.00398,2.532,4.71521,4.37787,2.98742,0.001901,0.001901,0.001901
12,1120.57,0.47079,0.66649,0.55059,0.92902,0.93143,0.91387,0.96496,0.9099,0.9301,0.91278,0.96255,0.8377,0.31792,0.49935,0.40372,0.85262,0.0018911,0.0018911,0.0018911
13,1210.28,0.43394,0.65895,0.51092,0.919,0.91584,0.94746,0.95832,0.91305,0.91459,0.94648,0.95541,0.84833,0.29439,0.4399,0.37273,0.84473,0.0018812,0.0018812,0.0018812
14,1300.18,0.43323,0.60765,0.50668,0.9186,0.93388,0.94723,0.97428,0.92771,0.93835,0.94383,0.97358,0.84143,0.28762,0.4553,0.36422,0.84383,0.0018713,0.0018713,0.0018713
15,1390.09,0.43357,0.64671,0.5194,0.93044,0.87603,0.79242,0.88602,0.79749,0.87158,0.78792,0.88214,0.6921,0.44504,1.2191,0.57522,0.99067,0.0018614,0.0018614,0.0018614
16,1478.72,0.42667,0.5763,0.49249,0.90563,0.93755,0.73277,0.84439,0.74208,0.9359,0.73194,0.83737,0.67377,0.54094,0.98784,0.75501,1.01456,0.0018515,0.0018515,0.0018515
17,1567.32,0.4045,0.65249,0.4576,0.91706,0.90235,0.77309,0.87799,0.81354,0.91426,0.77368,0.87443,0.7404,0.39102,0.68318,0.67958,0.92997,0.0018416,0.0018416,0.0018416
18,1656.22,0.40165,0.55728,0.48151,0.89942,0.14435,0.1438,0.06802,0.02324,0.10595,0.10554,0.04167,0.01292,2.57454,4.89641,3.32721,3.07566,0.0018317,0.0018317,0.0018317
19,1744.83,0.41359,0.57932,0.46474,0.9043,0.65295,0.35752,0.41416,0.2829,0.6278,0.32454,0.35998,0.21257,1.49504,3.2765,2.16209,2.01179,0.0018218,0.0018218,0.0018218
20,1833.69,0.39288,0.53707,0.47117,0.90157,0.93167,0.96174,0.98168,0.94954,0.93327,0.9594,0.97909,0.86557,0.26647,0.39831,0.29559,0.83464,0.0018119,0.0018119,0.0018119
21,1923.93,0.39472,0.62626,0.43134,0.91052,0.93679,0.95515,0.98316,0.94915,0.93679,0.95515,0.98308,0.85853,0.26918,0.40691,0.30663,0.82563,0.001802,0.001802,0.001802
22,2012.74,0.36688,0.52657,0.47778,0.88323,0.95664,0.96041,0.9846,0.95235,0.95532,0.95909,0.98431,0.86835,0.24894,0.40778,0.26921,0.82271,0.0017921,0.0017921,0.0017921
